GENEID	Symbol
LOC_Os07g05820	GOX1
LOC_Os10g37180	GDCH1
LOC_Os03g52840	SHMT1
LOC_Os04g41340	PGP1
LOC_Os03g57220	GOX2
LOC_Os01g48990	GLYK
LOC_Os01g51410	GDCP1
LOC_Os06g40940	GDCP2
LOC_Os08g39300	SGT
LOC_Os04g53230	GDCT
LOC_Os02g01150	HPR
LOC_Os10g42780	PLGG2
LOC_Os01g32830	PLGG1
LOC_Os07g01760	GGT
LOC_Os12g23150	PGP3
LOC_Os01g65410	SHMT3
LOC_Os01g22520	GDCL1
LOC_Os05g06750	GDCL2
LOC_Os12g22030	SHMT4
LOC_Os05g35440	SHMT2
LOC_Os02g07410	GDCH2
LOC_Os06g45670	GDCH3
LOC_Os09g08660	PGP2
