"","logFC.BSvsM","FDR.BSvsM","GENEID","logFC.MvsV","FDR.MvsV","logFC.BSvsV","FDR.BSvsV"
"1",5.07032778579364,3.0380416510916e-15,"LOC_Os03g45280",-6.08118598994443,2.38435466068074e-16,-1.01085820415079,1.31056830757406e-05
"2",3.732181766903,3.95787899814378e-14,"LOC_Os02g44630",-1.65678644824935,1.05837180959421e-09,2.07539531865365,1.48382258510968e-10
"3",5.64191007334036,2.48385111249986e-13,"LOC_Os08g05910",-6.04296073636607,7.41753539056253e-15,-0.401050663025718,0.229986129735952
"4",3.663656869878,7.77019457126191e-13,"LOC_Os02g50240",-3.34766101898279,2.3352400677591e-13,0.315995850895203,0.21791378347492
"5",5.29277589336501,9.1656943331178e-13,"LOC_Os03g13950",-4.28831964953782,1.28679427803889e-12,1.0044562438272,0.00179195185606341
"6",4.86245031387372,1.44499690927827e-12,"LOC_Os04g33660",-5.7728637499358,1.56930128049234e-14,-0.910413436062072,0.00272661570438785
"7",3.85836039089532,1.44499690927827e-12,"LOC_Os02g03840",-3.4098718248196,9.69219546213811e-13,0.448488566075725,0.0901469120909601
"8",3.03138405362271,1.69161020993678e-12,"LOC_Os02g41860",-0.923542473658177,2.16958742957551e-05,2.10784157996453,3.8316366466789e-10
"9",2.74357204201949,5.86434758114409e-12,"LOC_Os08g03290",-2.8147258763265,4.88965690196627e-13,-0.0711538343070045,0.892683856643016
"10",3.65209435768906,8.32882868612343e-12,"LOC_Os02g57720",-1.72755298344904,1.04668172398656e-07,1.92454137424002,7.79010375554304e-08
"11",2.50903630947186,1.08234832502047e-11,"LOC_Os02g02890",-3.70072644021801,5.7314063900105e-15,-1.19169013074615,4.7513663991404e-07
"12",2.53197645843407,3.3123979790224e-11,"LOC_Os09g25320",-3.7136632206698,1.30686871415189e-14,-1.18168676223573,1.42304873584674e-06
"13",4.15886870638265,3.72706687575328e-11,"LOC_Os07g48500",-6.99110965625668,5.98707763101862e-15,-2.83224094987403,2.55847974285324e-09
"14",4.94217865453866,4.00559043095949e-11,"LOC_Os01g68300",-7.68040680019312,1.85199578643511e-14,-2.73822814565446,4.18435185795782e-08
"15",4.98460637956462,8.75329270364068e-11,"LOC_Os01g37590",-3.87809490641892,3.30464134422106e-10,1.1065114731457,0.00680140877259961
"16",4.82636554916354,8.75329270364068e-11,"LOC_Os04g55800",-5.03789870579894,5.55024555441474e-12,-0.2115331566354,0.78193013032795
"17",4.51018720247321,8.77648479011568e-11,"LOC_Os01g73940",-6.32530901814446,1.30045663943509e-13,-1.81512181567125,9.27157735877497e-06
"18",3.54198061088593,9.0410376250902e-11,"LOC_Os04g45900",-3.99442492118856,2.14756297554567e-12,-0.452444310302635,0.163922523612545
"19",5.50652512492706,9.0410376250902e-11,"LOC_Os06g22960",-3.48318020897304,6.73861222078283e-09,2.02334491595402,3.50907152256782e-05
"20",4.04249849489173,1.39170280880625e-10,"LOC_Os07g48980",-7.01482492249332,1.18852976128795e-14,-2.9723264276016,2.58219459111196e-09
"21",2.87453352938613,2.31821379123944e-10,"LOC_Os08g09250",-3.14504378218252,9.07487660008112e-12,-0.270510252796386,0.447064581478015
"22",3.73609725595269,2.51469072107715e-10,"LOC_Os04g58800",-5.76494579898543,9.45995788639278e-14,-2.02884854303274,5.68475527098956e-07
"23",3.38401148393047,2.70898506711954e-10,"LOC_Os04g47220",-1.64465557936761,2.15406563105287e-06,1.73935590456286,3.0174396569355e-06
"24",2.27610021148443,2.72217404469383e-10,"LOC_Os01g74450",0.676542620262676,0.00158493934350864,2.95264283174711,6.20179514987991e-12
"25",2.90086549878993,3.0049266447453e-10,"LOC_Os07g26690",-1.8488428542843,5.80490722119731e-08,1.05202264450563,0.000315946703208304
"26",3.15073526110906,3.16943693950626e-10,"LOC_Os11g47809",-0.600692252163516,0.0292746903273912,2.55004300894554,7.26017614125075e-09
"27",5.68223997544434,4.47994264835629e-10,"LOC_Os01g72009",-8.69333714111712,2.21210690608227e-13,-3.01109716567279,2.19206451549734e-07
"28",3.77110563041097,4.5155542482744e-10,"LOC_Os04g02050",-3.07889674996692,1.46297040371056e-09,0.692208880444051,0.0608608277243927
"29",4.66694223883137,6.36492651334467e-10,"LOC_Os01g59740",-3.55811762416865,4.50270995144575e-09,1.10882461466272,0.0124981967542551
