GENEID	Symbol
LOC_Os01g37590	NRT1.4
LOC_Os01g48960	NADH-GOGAT1
LOC_Os01g25484	NIR
LOC_Os08g05910	NRT1.1A  
LOC_Os02g50240	GS1;1
LOC_Os06g38294	NRT1.2
LOC_Os03g12290	GS1;2
LOC_Os02g40730	AMT1.3
LOC_Os01g50820	NRT2.3
LOC_Os02g53130	NIA1
LOC_Os08g36480	NIA2
LOC_Os01g36720	NRT2.4
LOC_Os07g46460	Fd-GOGAT
LOC_Os10g40600	NRT1.1B
LOC_Os05g48200	NADH-GOGAT2
LOC_Os04g56400	GS2
LOC_Os04g43070	AMT1.1
LOC_Os05g39240	AMT2.1
