GENEID	Symbol
LOC_Os05g41640	PGK3
LOC_Os04g38600	GAPA
LOC_Os03g03720	GAPB
LOC_Os09g36450	TPI
LOC_Os11g07020	FBA
LOC_Os03g16050	FBPase
LOC_Os06g04270	TK
LOC_Os04g16680	SBPase
LOC_Os03g07300	RPE
LOC_Os07g08030	PPI
LOC_Os02g47020	PRK
LOC_Os12g17600	RBCS2
LOC_Os12g19381	RBCS3/5
LOC_Os12g19470	RBCS4
LOC_Os11g47970	RCA
